59,67
7,49
2,8
46,50
10,67
77,78
75,15
47,24
66,12
66,81
93,11
60,76
63,96
93,51
16,62
86,73
5,17
46,26
31,95
49,47
44,99
94,9
7,92
63,100
56,76
4,81
59,69
63,73
67,56
24,5
88,58
62,16
62,37
77,55
84,3
3,14
27,58
29,21
29,94
74,53
35,12
11,58
30,83
91,94
53,26
97,3
53,99
74,48
26,31
29,43
39,31
46,72
99,11
59,49
61,42
78,28
18,2
20,17
15,97
8,95
87,15
70,85
86,14
36,91
52,34
54,39
12,9
15,54
95,49
14,92
46,23
27,97
40,37
100,63
1,97
24,24
76,1
68,87
38,51
37,10
6,91
62,72
80,91
42,93
34,72
98,100
51,51
57,39
11,21
30,3
6,13
98,24
54,47
84,59
62,55
30,92
24,98
85,41
52,68
38,30
7,88
61,70
85,33
82,69
91,66
44,34
85,93
73,16
24,92
43,19
67,2
43,94
45,6
17,86
89,84
96,31
42,100
90,86
91,42
46,24
